device,policy,seed,scenario,cacheSize,alerts,reliability,durationSec,queryRatePerMin,cacheHitRate,deliveryRate,avgFreshness,staleAccessRate,redundancyIndex,actionabilityFirstRatio,timelinessConsistency,pushesSent,pushSuppressRate,pushDuplicateRate,pushTimelyFirstRatio
Budget Phone,LRU,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.920754,0.000000,0.571429,0.836207,0.258621,0,0.000000,0.000000,0.000000
Budget Phone,TTLOnly,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.936493,0.000000,0.571429,0.841727,0.215827,0,0.000000,0.000000,0.000000
Budget Phone,PriorityFresh,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.824955,0.000000,0.571429,0.970588,0.411765,0,0.000000,0.000000,0.000000
Budget Phone,PAFTinyLFU,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.794744,0.000000,0.571429,0.919355,0.403226,0,0.000000,0.000000,0.000000
Standard Phone,LRU,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.842504,0.000000,0.571429,0.849624,0.210526,0,0.000000,0.000000,0.000000
Standard Phone,TTLOnly,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.866958,0.000000,0.571429,0.802632,0.184211,0,0.000000,0.000000,0.000000
Standard Phone,PriorityFresh,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.799211,0.000000,0.571429,0.929204,0.247788,0,0.000000,0.000000,0.000000
Standard Phone,PAFTinyLFU,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.804199,0.000000,0.571429,0.862500,0.350000,0,0.000000,0.000000,0.000000
High-End Phone,LRU,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.797295,0.000000,0.571429,0.829787,0.198582,0,0.000000,0.000000,0.000000
High-End Phone,TTLOnly,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.806901,0.000000,0.571429,0.816993,0.183007,0,0.000000,0.000000,0.000000
High-End Phone,PriorityFresh,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.784621,0.000000,0.571429,0.875000,0.205882,0,0.000000,0.000000,0.000000
High-End Phone,PAFTinyLFU,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.781738,0.000000,0.571429,0.841667,0.233333,0,0.000000,0.000000,0.000000
Tablet/Laptop,LRU,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,TTLOnly,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,PriorityFresh,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,PAFTinyLFU,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Desktop PC,LRU,FISHDINNER,Urban,1024,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Desktop PC,TTLOnly,FISHDINNER,Urban,1024,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Desktop PC,PriorityFresh,FISHDINNER,Urban,1024,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Desktop PC,PAFTinyLFU,FISHDINNER,Urban,1024,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000