network,policy,seed,scenario,cacheSize,alerts,reliability,durationSec,queryRatePerMin,cacheHitRate,deliveryRate,avgFreshness,staleAccessRate,redundancyIndex,actionabilityFirstRatio,timelinessConsistency,pushesSent,pushSuppressRate,pushDuplicateRate,pushTimelyFirstRatio
Perfect,LRU,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.844490,0.000000,0.572500,0.838462,0.223077,0,0.000000,0.000000,0.000000
Perfect,TTLOnly,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.870920,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Perfect,PriorityFresh,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.797688,0.000000,0.572500,0.931624,0.247863,0,0.000000,0.000000,0.000000
Perfect,PAFTinyLFU,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.803150,0.000000,0.572500,0.878049,0.353659,0,0.000000,0.000000,0.000000
Excellent,LRU,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.840904,0.000000,0.572500,0.833333,0.219697,0,0.000000,0.000000,0.000000
Excellent,TTLOnly,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.869278,0.000000,0.572500,0.812081,0.194631,0,0.000000,0.000000,0.000000
Excellent,PriorityFresh,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.799595,0.000000,0.572500,0.929204,0.256637,0,0.000000,0.000000,0.000000
Excellent,PAFTinyLFU,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.800942,0.000000,0.572500,0.847059,0.341176,0,0.000000,0.000000,0.000000
Good,LRU,FISHDINNER,Urban,128,400,0.900,900,60,0.998420,1.000000,0.842631,0.000000,0.572500,0.838462,0.207692,0,0.000000,0.000000,0.000000
Good,TTLOnly,FISHDINNER,Urban,128,400,0.900,900,60,0.998420,1.000000,0.869065,0.000000,0.572500,0.818792,0.181208,0,0.000000,0.000000,0.000000
Good,PriorityFresh,FISHDINNER,Urban,128,400,0.900,900,60,0.998420,1.000000,0.797891,0.000000,0.572500,0.938053,0.238938,0,0.000000,0.000000,0.000000
Good,PAFTinyLFU,FISHDINNER,Urban,128,400,0.900,900,60,0.998420,1.000000,0.801617,0.000000,0.572500,0.807692,0.346154,0,0.000000,0.000000,0.000000
Fair,LRU,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.842504,0.000000,0.571429,0.849624,0.210526,0,0.000000,0.000000,0.000000
Fair,TTLOnly,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.866958,0.000000,0.571429,0.802632,0.184211,0,0.000000,0.000000,0.000000
Fair,PriorityFresh,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.799211,0.000000,0.571429,0.929204,0.247788,0,0.000000,0.000000,0.000000
Fair,PAFTinyLFU,FISHDINNER,Urban,128,400,0.850,900,60,0.998411,0.997500,0.804199,0.000000,0.571429,0.862500,0.350000,0,0.000000,0.000000,0.000000
Poor,LRU,FISHDINNER,Urban,128,400,0.700,900,60,0.998394,0.987500,0.841975,0.000000,0.572152,0.870504,0.194245,0,0.000000,0.000000,0.000000
Poor,TTLOnly,FISHDINNER,Urban,128,400,0.700,900,60,0.998394,0.987500,0.866479,0.000000,0.572152,0.843537,0.183673,0,0.000000,0.000000,0.000000
Poor,PriorityFresh,FISHDINNER,Urban,128,400,0.700,900,60,0.998394,0.987500,0.800934,0.000000,0.572152,0.948718,0.230769,0,0.000000,0.000000,0.000000
Poor,PAFTinyLFU,FISHDINNER,Urban,128,400,0.700,900,60,0.998394,0.987500,0.805100,0.000000,0.572152,0.833333,0.321429,0,0.000000,0.000000,0.000000
Very Poor,LRU,FISHDINNER,Urban,128,400,0.600,900,60,0.998421,0.982500,0.838191,0.000000,0.569975,0.861314,0.204380,0,0.000000,0.000000,0.000000
Very Poor,TTLOnly,FISHDINNER,Urban,128,400,0.600,900,60,0.998421,0.982500,0.865745,0.000000,0.569975,0.846667,0.186667,0,0.000000,0.000000,0.000000
Very Poor,PriorityFresh,FISHDINNER,Urban,128,400,0.600,900,60,0.998421,0.982500,0.797620,0.000000,0.569975,0.939655,0.241379,0,0.000000,0.000000,0.000000
Very Poor,PAFTinyLFU,FISHDINNER,Urban,128,400,0.600,900,60,0.998421,0.982500,0.801812,0.000000,0.569975,0.864198,0.345679,0,0.000000,0.000000,0.000000
Degraded,LRU,FISHDINNER,Urban,128,400,0.500,900,60,0.998424,0.955000,0.837893,0.000000,0.562827,0.834646,0.204724,0,0.000000,0.000000,0.000000
Degraded,TTLOnly,FISHDINNER,Urban,128,400,0.500,900,60,0.998424,0.955000,0.865748,0.000000,0.562827,0.816993,0.169935,0,0.000000,0.000000,0.000000
Degraded,PriorityFresh,FISHDINNER,Urban,128,400,0.500,900,60,0.998424,0.955000,0.799933,0.000000,0.562827,0.937500,0.232143,0,0.000000,0.000000,0.000000
Degraded,PAFTinyLFU,FISHDINNER,Urban,128,400,0.500,900,60,0.998424,0.955000,0.795153,0.000000,0.562827,0.910256,0.333333,0,0.000000,0.000000,0.000000
Disaster,LRU,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.821654,0.000000,0.543860,0.793893,0.236641,0,0.000000,0.000000,0.000000
Disaster,TTLOnly,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.850514,0.000000,0.543860,0.778571,0.221429,0,0.000000,0.000000,0.000000
Disaster,PriorityFresh,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.793706,0.000000,0.543860,0.895652,0.269565,0,0.000000,0.000000,0.000000
Disaster,PAFTinyLFU,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.786425,0.000000,0.543860,0.810127,0.392405,0,0.000000,0.000000,0.000000